i,sigma_hat,m_hat,alpha_hat,sigmaLogError,mLogError,alphaLogError
1068,6.45E-02,1.83507275,1.002375633,-4.232397527,-1.802250814,-6.042491373
1069,6.44E-02,1.780058226,1.005350801,-4.240333218,-1.514392433,-5.230508955
1070,6.45E-02,1.838036143,1.002226343,-4.232191496,-1.820382073,-6.107395166
1071,6.44E-02,1.833131508,1.002480727,-4.238370234,-1.790549248,-5.999203548
1072,6.43E-02,1.828853481,1.002704625,-4.244506318,-1.765235255,-5.9127921
1073,6.44E-02,1.883580862,0.999968105,-4.238550239,-2.150558344,-10.35306213
1074,6.44E-02,1.89051555,0.999638797,-4.243208863,-2.211972747,-7.926069377
1075,6.45E-02,1.96205988,0.996434592,-4.234473261,-3.271746142,-5.636476667
1076,6.44E-02,1.899974527,0.999202451,-4.242670845,-2.302330393,-7.133966878
1077,6.46E-02,2.000946909,0.994838133,-4.225839657,-6.962307207,-5.266456976
1078,6.45E-02,1.978032386,0.995772776,-4.233232285,-3.81818599,-5.466209691
1079,6.49E-02,2.12383339,0.990350637,-4.209015232,-2.088818248,-4.640863341
1080,6.48E-02,1.999509175,0.994914009,-4.21452224,-7.619422103,-5.281265298
1081,6.47E-02,1.941219851,0.997369254,-4.22274438,-2.833951084,-5.940487854
1082,6.45E-02,1.893397948,0.999559351,-4.231026127,-2.238652515,-7.727262808
1083,6.45E-02,1.798520548,1.004441834,-4.234360999,-1.602067879,-5.416687814
1084,6.45E-02,1.819176886,1.003315208,-4.236193926,-1.710235997,-5.709234869
1085,6.44E-02,1.764316324,1.006404228,-4.243743462,-1.44526473,-5.050796958
1086,6.44E-02,1.800786458,1.004321665,-4.241036545,-1.613377957,-5.444114619
1087,6.48E-02,1.911683705,0.998700917,-4.211732151,-2.426830651,-6.646096408
1088,6.47E-02,1.913864669,0.99860088,-4.21696988,-2.451835608,-6.571911846
1089,6.46E-02,1.854775732,1.001472895,-4.224747797,-1.929476052,-6.520525113
1090,6.46E-02,1.86633396,1.000890682,-4.228556242,-2.01241083,-7.023523069
1091,6.45E-02,1.790313555,1.00494489,-4.234027711,-1.562141983,-5.309400579
1092,6.44E-02,1.769829496,1.006127896,-4.241834003,-1.468934925,-5.094903857
1093,6.43E-02,1.777205098,1.005698303,-4.246198521,-1.501503653,-5.167586876
1094,6.43E-02,1.782985889,1.005365166,-4.250876679,-1.527792901,-5.227828006
1095,6.45E-02,1.854315189,1.001495177,-4.235829257,-1.926309819,-6.505510534
1096,6.46E-02,1.920292069,0.998287458,-4.22596344,-2.52938619,-6.369776711
1097,6.45E-02,1.918394779,0.998376311,-4.2317512,-2.505862042,-6.423054522
1098,6.44E-02,1.884185373,1.000009083,-4.239938034,-2.155764411,-11.60905938
